"Strategy_name","Test_period","value","variable","KPI"
"first_EW","2020",0.508262570043326,"Total Return","TotalReturn"
"first_EW","2020",0.327,"Annualized Return","AnnualizedReturns"
"first_EW","2020",0.7317,"Annualized Std Dev","AnnualizedReturns"
"first_EW","2020",0.4309,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_EW","2020",0.0461,"daily  Std Dev","Distributions"
"first_EW","2020",-3.1446,"Skewness","Distributions"
"first_EW","2020",32.2134,"Kurtosis","Distributions"
"first_EW","2020",29.2134,"Excess kurtosis","Distributions"
"first_EW","2020",-3.1706,"Sample skewness","Distributions"
"first_EW","2020",29.633,"Sample excess kurtosis","Distributions"
"first_EW","2020",0.0377,"Semi Deviation","DownsideRisk"
"first_EW","2020",0.0241,"Gain Deviation","DownsideRisk"
"first_EW","2020",0.0473,"Loss Deviation","DownsideRisk"
"first_EW","2020",0.0368,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_EW","2020",0.0368,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_EW","2020",0.0368,"Downside Deviation (0%)","DownsideRisk"
"first_EW","2020",0.6891,"Maximum Drawdown","DownsideRisk"
"first_EW","2020",-0.0692,"Historical VaR (95%)","DownsideRisk"
"first_EW","2020",-0.1163,"Historical ES (95%)","DownsideRisk"
"first_EW","2020",-0.0788,"Modified VaR (95%)","DownsideRisk"
"first_EW","2020",-0.2529,"Modified ES (95%)","DownsideRisk"
"first_EW","2020",0.0368,"daily downside risk","DownsideRiskRatio"
"first_EW","2020",0.5844,"Annualised downside risk","DownsideRiskRatio"
"first_EW","2020",0.0136,"Downside potential","DownsideRiskRatio"
"first_EW","2020",1.1722,"Omega","DownsideRiskRatio"
"first_EW","2020",0.0635,"Sortino ratio","DownsideRiskRatio"
"first_EW","2020",0.0159,"Upside potential","DownsideRiskRatio"
"first_EW","2020",0.4615,"Upside potential ratio","DownsideRiskRatio"
"first_EW","2020",0.1722,"Omega-sharpe ratio","DownsideRiskRatio"
