"Strategy_name","Test_period","value","variable","KPI"
"second_maxSR","2021",1.04344354869581,"Total Return","TotalReturn"
"second_maxSR","2021",0.6379,"Annualized Return","AnnualizedReturns"
"second_maxSR","2021",0.9263,"Annualized Std Dev","AnnualizedReturns"
"second_maxSR","2021",0.6635,"Annualized Sharpe (Rf=1.43%)","AnnualizedReturns"
"second_maxSR","2021",0.0584,"daily  Std Dev","Distributions"
"second_maxSR","2021",-1.2311,"Skewness","Distributions"
"second_maxSR","2021",10.4782,"Kurtosis","Distributions"
"second_maxSR","2021",7.4782,"Excess kurtosis","Distributions"
"second_maxSR","2021",-1.2413,"Sample skewness","Distributions"
"second_maxSR","2021",7.5983,"Sample excess kurtosis","Distributions"
"second_maxSR","2021",0.0451,"Semi Deviation","DownsideRisk"
"second_maxSR","2021",0.0336,"Gain Deviation","DownsideRisk"
"second_maxSR","2021",0.0502,"Loss Deviation","DownsideRisk"
"second_maxSR","2021",0.0434,"Downside Deviation (MAR=0%)","DownsideRisk"
"second_maxSR","2021",0.0434,"Downside Deviation (Rf=0%)","DownsideRisk"
"second_maxSR","2021",0.0434,"Downside Deviation (0%)","DownsideRisk"
"second_maxSR","2021",0.7484,"Maximum Drawdown","DownsideRisk"
"second_maxSR","2021",-0.0811,"Historical VaR (95%)","DownsideRisk"
"second_maxSR","2021",-0.141,"Historical ES (95%)","DownsideRisk"
"second_maxSR","2021",-0.102,"Modified VaR (95%)","DownsideRisk"
"second_maxSR","2021",-0.2316,"Modified ES (95%)","DownsideRisk"
"second_maxSR","2021",0.0434,"daily downside risk","DownsideRiskRatio"
"second_maxSR","2021",0.6896,"Annualised downside risk","DownsideRiskRatio"
"second_maxSR","2021",0.0188,"Downside potential","DownsideRiskRatio"
"second_maxSR","2021",1.2009,"Omega","DownsideRiskRatio"
"second_maxSR","2021",0.0868,"Sortino ratio","DownsideRiskRatio"
"second_maxSR","2021",0.0225,"Upside potential","DownsideRiskRatio"
"second_maxSR","2021",0.569,"Upside potential ratio","DownsideRiskRatio"
"second_maxSR","2021",0.2009,"Omega-sharpe ratio","DownsideRiskRatio"
