"","MVP_2020","MVP_2021","MVP_2022"
"BTC",0.1,0.05,0.1
"ETH",0.05,0.05,0.05
"BNB",0.05,0.05,0.05
"XRP",0.05,0.05,0.05
"ADA",0.0500000000000002,0.05,0.05
"DOGE",0.05,0.0499999999999996,0.05
"TRX",0.0499999999999999,0.05,0.05
"LTC",0.05,0.0500000000000001,0.0500000000000001
"BTCH",0.05,0.0500000000000001,0.0499999999999999
"LINK",0.05,0.05,0.05
"XLM",0.05,0.05,0.05
"ETC",0.05,0.0499999999999999,0.0499999999999999
"XRM",0.05,0.05,0.05
"FIL",0.0500000000000003,0.05,0.0500000000000003
"MANA",0.0499999999999999,0.05,0.05
"EOS",0.0500000000000001,0.0500000000000001,0.0500000000000001
"KCS",0.05,0.0999999999999999,0.05
"ZEC",0.05,0.05,0.05
"WAVES",0.05,0.05,0.05
