"From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
2021-05-07,2021-07-20,NA,-0.7759,240,75,NA,"second_MVP_top4"
2021-04-18,2021-04-25,2021-05-03,-0.2742,16,8,8,"second_MVP_top4"
2021-02-14,2021-02-23,2021-03-12,-0.2668,27,10,17,"second_MVP_top4"
2021-03-18,2021-03-25,2021-04-02,-0.1951,16,8,8,"second_MVP_top4"
2021-01-11,2021-01-11,2021-01-19,-0.1431,9,1,8,"second_MVP_top4"
2021-05-08,2021-12-13,NA,-0.8139,239,220,NA,"second_MVP_bottom4"
2021-04-20,2021-04-25,2021-05-04,-0.3597,15,6,9,"second_MVP_bottom4"
2021-01-30,2021-01-30,2021-02-07,-0.3363,9,1,8,"second_MVP_bottom4"
2021-02-09,2021-02-28,2021-04-11,-0.2822,62,20,42,"second_MVP_bottom4"
2021-01-10,2021-01-27,2021-01-28,-0.2696,19,18,1,"second_MVP_bottom4"
2021-05-17,2021-12-17,NA,-0.6426,230,215,NA,"second_maxSR_top4"
2021-04-16,2021-04-25,2021-05-06,-0.2724,21,10,11,"second_maxSR_top4"
2021-02-28,2021-03-15,2021-03-17,-0.2332,18,16,2,"second_maxSR_top4"
2021-03-18,2021-03-24,2021-04-14,-0.2278,28,7,21,"second_maxSR_top4"
2021-01-18,2021-01-27,2021-02-01,-0.203,15,10,5,"second_maxSR_top4"
2021-04-16,2021-07-20,NA,-0.6118,261,96,NA,"second_maxSR_bottom4"
2021-01-09,2021-01-27,2021-02-08,-0.2678,31,19,12,"second_maxSR_bottom4"
2021-02-22,2021-02-28,2021-03-13,-0.2228,20,7,13,"second_maxSR_bottom4"
2021-03-14,2021-03-25,2021-03-30,-0.1219,17,12,5,"second_maxSR_bottom4"
2021-04-02,2021-04-07,2021-04-11,-0.0701,10,6,4,"second_maxSR_bottom4"
2021-05-07,2021-07-20,NA,-0.7463,240,75,NA,"second_EW_top4"
2021-04-18,2021-04-25,2021-05-05,-0.2739,18,8,10,"second_EW_top4"
2021-02-22,2021-02-23,2021-03-09,-0.2232,16,2,14,"second_EW_top4"
2021-03-18,2021-03-25,2021-04-10,-0.2075,24,8,16,"second_EW_top4"
2021-01-21,2021-01-21,2021-01-23,-0.1473,3,1,2,"second_EW_top4"
2021-05-08,2021-12-13,NA,-0.8314,239,220,NA,"second_EW_bottom4"
2021-04-17,2021-04-25,2021-05-04,-0.3533,18,9,9,"second_EW_bottom4"
2021-02-13,2021-02-28,2021-03-26,-0.2817,42,16,26,"second_EW_bottom4"
2021-01-30,2021-02-02,2021-02-06,-0.2461,8,4,4,"second_EW_bottom4"
2021-01-10,2021-01-27,2021-01-28,-0.231,19,18,1,"second_EW_bottom4"
2021-05-07,2021-07-20,NA,-0.7622,240,75,NA,"second_InvInef_top4"
2021-04-18,2021-04-25,2021-05-05,-0.2786,18,8,10,"second_InvInef_top4"
2021-02-14,2021-02-23,2021-03-08,-0.2518,23,10,13,"second_InvInef_top4"
2021-03-18,2021-03-25,2021-04-11,-0.2114,25,8,17,"second_InvInef_top4"
2021-01-24,2021-01-27,2021-02-03,-0.1599,11,4,7,"second_InvInef_top4"
2021-05-08,2021-12-13,NA,-0.8436,239,220,NA,"second_InvInef_bottom4"
2021-04-17,2021-04-25,2021-05-04,-0.3676,18,9,9,"second_InvInef_bottom4"
2021-02-13,2021-02-28,2021-03-31,-0.3081,47,16,31,"second_InvInef_bottom4"
2021-01-30,2021-02-02,2021-02-07,-0.2937,9,4,5,"second_InvInef_bottom4"
2021-01-10,2021-01-27,2021-01-28,-0.2463,19,18,1,"second_InvInef_bottom4"
