"Strategy_name","Test_period","value","variable","KPI"
"third_MVP_top4","2022",-0.541263552150356,"Total Return","TotalReturn"
"third_MVP_top4","2022",-0.4759,"Annualized Return","AnnualizedReturns"
"third_MVP_top4","2022",0.6836,"Annualized Std Dev","AnnualizedReturns"
"third_MVP_top4","2022",-0.7439,"Annualized Sharpe (Rf=2.76%)","AnnualizedReturns"
"third_MVP_top4","2022",0.0431,"daily  Std Dev","Distributions"
"third_MVP_top4","2022",-0.5981,"Skewness","Distributions"
"third_MVP_top4","2022",5.4678,"Kurtosis","Distributions"
"third_MVP_top4","2022",2.4678,"Excess kurtosis","Distributions"
"third_MVP_top4","2022",-0.604,"Sample skewness","Distributions"
"third_MVP_top4","2022",2.5289,"Sample excess kurtosis","Distributions"
"third_MVP_top4","2022",0.0323,"Semi Deviation","DownsideRisk"
"third_MVP_top4","2022",0.0253,"Gain Deviation","DownsideRisk"
"third_MVP_top4","2022",0.0334,"Loss Deviation","DownsideRisk"
"third_MVP_top4","2022",0.0331,"Downside Deviation (MAR=0%)","DownsideRisk"
"third_MVP_top4","2022",0.0331,"Downside Deviation (Rf=0%)","DownsideRisk"
"third_MVP_top4","2022",0.0331,"Downside Deviation (0%)","DownsideRisk"
"third_MVP_top4","2022",0.6901,"Maximum Drawdown","DownsideRisk"
"third_MVP_top4","2022",-0.0763,"Historical VaR (95%)","DownsideRisk"
"third_MVP_top4","2022",-0.1082,"Historical ES (95%)","DownsideRisk"
"third_MVP_top4","2022",-0.0772,"Modified VaR (95%)","DownsideRisk"
"third_MVP_top4","2022",-0.1229,"Modified ES (95%)","DownsideRisk"
"third_MVP_top4","2022",0.0331,"daily downside risk","DownsideRiskRatio"
"third_MVP_top4","2022",0.5249,"Annualised downside risk","DownsideRiskRatio"
"third_MVP_top4","2022",0.0164,"Downside potential","DownsideRiskRatio"
"third_MVP_top4","2022",0.9018,"Omega","DownsideRiskRatio"
"third_MVP_top4","2022",-0.0488,"Sortino ratio","DownsideRiskRatio"
"third_MVP_top4","2022",0.0148,"Upside potential","DownsideRiskRatio"
"third_MVP_top4","2022",0.6274,"Upside potential ratio","DownsideRiskRatio"
"third_MVP_top4","2022",-0.0982,"Omega-sharpe ratio","DownsideRiskRatio"
"third_MVP_bottom4","2022",-0.735771930219286,"Total Return","TotalReturn"
"third_MVP_bottom4","2022",-0.6682,"Annualized Return","AnnualizedReturns"
"third_MVP_bottom4","2022",0.8123,"Annualized Std Dev","AnnualizedReturns"
"third_MVP_bottom4","2022",-0.849,"Annualized Sharpe (Rf=2.76%)","AnnualizedReturns"
"third_MVP_bottom4","2022",0.0512,"daily  Std Dev","Distributions"
"third_MVP_bottom4","2022",-0.4869,"Skewness","Distributions"
"third_MVP_bottom4","2022",8.2119,"Kurtosis","Distributions"
"third_MVP_bottom4","2022",5.2119,"Excess kurtosis","Distributions"
"third_MVP_bottom4","2022",-0.4917,"Sample skewness","Distributions"
"third_MVP_bottom4","2022",5.3186,"Sample excess kurtosis","Distributions"
"third_MVP_bottom4","2022",0.0373,"Semi Deviation","DownsideRisk"
"third_MVP_bottom4","2022",0.0342,"Gain Deviation","DownsideRisk"
"third_MVP_bottom4","2022",0.0388,"Loss Deviation","DownsideRisk"
"third_MVP_bottom4","2022",0.0388,"Downside Deviation (MAR=0%)","DownsideRisk"
"third_MVP_bottom4","2022",0.0388,"Downside Deviation (Rf=0%)","DownsideRisk"
"third_MVP_bottom4","2022",0.0388,"Downside Deviation (0%)","DownsideRisk"
"third_MVP_bottom4","2022",0.8697,"Maximum Drawdown","DownsideRisk"
"third_MVP_bottom4","2022",-0.0801,"Historical VaR (95%)","DownsideRisk"
"third_MVP_bottom4","2022",-0.1203,"Historical ES (95%)","DownsideRisk"
"third_MVP_bottom4","2022",-0.0885,"Modified VaR (95%)","DownsideRisk"
"third_MVP_bottom4","2022",-0.1621,"Modified ES (95%)","DownsideRisk"
"third_MVP_bottom4","2022",0.0388,"daily downside risk","DownsideRiskRatio"
"third_MVP_bottom4","2022",0.6152,"Annualised downside risk","DownsideRiskRatio"
"third_MVP_bottom4","2022",0.0194,"Downside potential","DownsideRiskRatio"
"third_MVP_bottom4","2022",0.8443,"Omega","DownsideRiskRatio"
"third_MVP_bottom4","2022",-0.078,"Sortino ratio","DownsideRiskRatio"
"third_MVP_bottom4","2022",0.0164,"Upside potential","DownsideRiskRatio"
"third_MVP_bottom4","2022",0.6286,"Upside potential ratio","DownsideRiskRatio"
"third_MVP_bottom4","2022",-0.1557,"Omega-sharpe ratio","DownsideRiskRatio"
"third_maxSR_top4","2022",-0.487065771312947,"Total Return","TotalReturn"
