"","Strats_names","Policy","Efficency_group","N_assets","Test_period","Total Return","Annualized Return","Annualized Std Dev","Annualized Sharpe (Rf=0%)","Historical VaR (95%)"
"1","MVP_most_4_2020","MVP","most","4","2020",0.535076956991166,0.3432,0.8001,0.429,-0.0772
"2","maxSR_most_4_2020","maxSR","most","4","2020",0.811494742261972,0.5054,0.8083,0.6253,-0.0769
"3","EW_most_4_2020","EW","most","4","2020",0.342123046621679,0.2246,0.8216,0.2733,-0.0791
"4","InvInef_most_4_2020","InvInef","most","4","2020",0.359642974312492,0.2356,0.8011,0.2941,-0.079
"5","MVP_most_4_2021","MVP","most","4","2021",2.2241357721946,1.244,1.0914,1.1398,-0.096
"6","maxSR_most_4_2021","maxSR","most","4","2021",2.29456537589658,1.2777,1.0593,1.2062,-0.0931
"7","EW_most_4_2021","EW","most","4","2021",2.29456537589658,1.2777,1.0593,1.2062,-0.0931
"8","InvInef_most_4_2021","InvInef","most","4","2021",2.80385803917934,1.5153,1.1289,1.3423,-0.0974
"9","MVP_most_4_2022","MVP","most","4","2022",-0.547402581229575,-0.4817,0.6815,-0.7067,-0.077
"10","maxSR_most_4_2022","maxSR","most","4","2022",-0.531959007623104,-0.4671,0.6701,-0.697,-0.0741
"11","EW_most_4_2022","EW","most","4","2022",-0.600942186975802,-0.533,0.7001,-0.7613,-0.0743
"12","InvInef_most_4_2022","InvInef","most","4","2022",-0.579788014200469,-0.5126,0.7028,-0.7293,-0.0791
"13","MVP_less_4_2020","MVP","less","4","2020",1.66931746163672,0.966,0.6346,1.5221,-0.0484
"14","maxSR_less_4_2020","maxSR","less","4","2020",1.73234764146415,0.9979,0.6349,1.5717,-0.0468
"15","EW_less_4_2020","EW","less","4","2020",0.515502165248794,0.3314,0.6169,0.5373,-0.0546
"16","InvInef_less_4_2020","InvInef","less","4","2020",0.464047502969817,0.3001,0.6299,0.4765,-0.0577
"17","MVP_less_4_2021","MVP","less","4","2021",0.544796857233061,0.3502,1.2225,0.2865,-0.0898
"18","maxSR_less_4_2021","maxSR","less","4","2021",0.657634482159789,0.4175,1.32,0.3163,-0.0927
"19","EW_less_4_2021","EW","less","4","2021",0.405786633920015,0.2651,1.1527,0.23,-0.0936
"20","InvInef_less_4_2021","InvInef","less","4","2021",0.612149494804682,0.3906,1.2849,0.304,-0.097
"21","MVP_less_4_2022","MVP","less","4","2022",-0.756969487378849,-0.6904,0.8316,-0.8302,-0.0839
"22","maxSR_less_4_2022","maxSR","less","4","2022",-0.723292700990191,-0.6553,0.7741,-0.8465,-0.0808
"23","EW_less_4_2022","EW","less","4","2022",-0.723292700990191,-0.6553,0.7741,-0.8465,-0.0808
"24","InvInef_less_4_2022","InvInef","less","4","2022",-0.758197725843615,-0.6917,0.7712,-0.8969,-0.082
"25","MVP_most_6_2020","MVP","most","6","2020",1.7258348837822,0.9946,0.8094,1.2288,-0.0681
"26","maxSR_most_6_2020","maxSR","most","6","2020",1.56966121812814,0.9152,0.8019,1.1413,-0.0677
"27","EW_most_6_2020","EW","most","6","2020",0.554845770855189,0.3551,0.7973,0.4454,-0.0731
"28","InvInef_most_6_2020","InvInef","most","6","2020",0.202424154948059,0.1353,0.9033,0.1498,-0.0898
"29","MVP_most_6_2021","MVP","most","6","2021",0.825827713961554,0.5154,1.0442,0.4935,-0.0907
"30","maxSR_most_6_2021","maxSR","most","6","2021",0.850043876221784,0.5292,1.0661,0.4964,-0.0944
"31","EW_most_6_2021","EW","most","6","2021",1.39052096620552,0.8252,1.0252,0.805,-0.0925
"32","InvInef_most_6_2021","InvInef","most","6","2021",2.49297159104302,1.3715,1.1825,1.1598,-0.099
"33","MVP_most_6_2022","MVP","most","6","2022",-0.531423384674881,-0.4665,0.6317,-0.7386,-0.0685
"34","maxSR_most_6_2022","maxSR","most","6","2022",-0.481624768085623,-0.42,0.6046,-0.6946,-0.0617
"35","EW_most_6_2022","EW","most","6","2022",-0.588670834735291,-0.5212,0.6233,-0.8361,-0.075
"36","InvInef_most_6_2022","InvInef","most","6","2022",-0.619993127615149,-0.5516,0.6042,-0.913,-0.073
"37","MVP_less_6_2020","MVP","less","6","2020",1.51570147959721,0.8874,0.612,1.45,-0.0461
"38","maxSR_less_6_2020","maxSR","less","6","2020",1.7270679776029,0.9952,0.6254,1.5914,-0.0457
"39","EW_less_6_2020","EW","less","6","2020",0.332560274426197,0.2186,0.6443,0.3392,-0.0622
"40","InvInef_less_6_2020","InvInef","less","6","2020",0.251039213659498,0.1667,0.6993,0.2385,-0.0653
"41","MVP_less_6_2021","MVP","less","6","2021",0.551997538865196,0.3545,1.2506,0.2835,-0.0908
"42","maxSR_less_6_2021","maxSR","less","6","2021",0.47980796628314,0.3107,1.113,0.2792,-0.0865
"43","EW_less_6_2021","EW","less","6","2021",0.181577483684316,0.1221,1.0381,0.1176,-0.0898
"44","InvInef_less_6_2021","InvInef","less","6","2021",0.276948248461412,0.1839,1.0926,0.1683,-0.0901
"45","MVP_less_6_2022","MVP","less","6","2022",-0.739335662847366,-0.6719,0.7118,-0.9439,-0.0757
"46","maxSR_less_6_2022","maxSR","less","6","2022",-0.739335662847366,-0.6719,0.7118,-0.9439,-0.0757
"47","EW_less_6_2022","EW","less","6","2022",-0.739335662847366,-0.6719,0.7118,-0.9439,-0.0757
"48","InvInef_less_6_2022","InvInef","less","6","2022",-0.755148186077903,-0.6885,0.6959,-0.9894,-0.0787
"49","MVP_most_8_2020","MVP","most","8","2020",1.06343904588595,0.6467,0.7902,0.8184,-0.077
"50","maxSR_most_8_2020","maxSR","most","8","2020",0.887498099680057,0.5487,0.7882,0.6961,-0.0772
"51","EW_most_8_2020","EW","most","8","2020",0.634667902052648,0.4027,0.7876,0.5113,-0.0792
"52","InvInef_most_8_2020","InvInef","most","8","2020",0.398651695945213,0.2599,0.8441,0.3079,-0.0888
"53","MVP_most_8_2021","MVP","most","8","2021",-0.0503396756382206,-0.035,0.9427,-0.0372,-0.0892
"54","maxSR_most_8_2021","maxSR","most","8","2021",0.577149662844028,0.3697,1.0247,0.3608,-0.0963
"55","EW_most_8_2021","EW","most","8","2021",0.968987879645044,0.5964,0.9893,0.6029,-0.0912
"56","InvInef_most_8_2021","InvInef","most","8","2021",0.305696169931323,0.2022,0.933,0.2167,-0.0885
"57","MVP_most_8_2022","MVP","most","8","2022",-0.612758290610501,-0.5445,0.632,-0.8616,-0.0687
"58","maxSR_most_8_2022","maxSR","most","8","2022",-0.640400118973358,-0.5717,0.6426,-0.8895,-0.0738
"59","EW_most_8_2022","EW","most","8","2022",-0.619761994690995,-0.5514,0.6258,-0.881,-0.0766
"60","InvInef_most_8_2022","InvInef","most","8","2022",-0.563125666875695,-0.4966,0.5788,-0.8581,-0.0668
"61","MVP_less_8_2020","MVP","less","8","2020",1.25807147449253,0.7521,0.6375,1.1798,-0.0541
"62","maxSR_less_8_2020","maxSR","less","8","2020",1.61067384442425,0.9362,0.6289,1.4886,-0.0471
"63","EW_less_8_2020","EW","less","8","2020",0.37427967113511,0.2447,0.715,0.3423,-0.0657
"64","InvInef_less_8_2020","InvInef","less","8","2020",0.253924970027903,0.1686,0.7038,0.2396,-0.068
"65","MVP_less_8_2021","MVP","less","8","2021",1.3591296680747,0.8086,0.9277,0.8717,-0.0814
"66","maxSR_less_8_2021","maxSR","less","8","2021",1.13169352792168,0.6864,0.9106,0.7538,-0.0805
"67","EW_less_8_2021","EW","less","8","2021",1.02076974730349,0.6253,1.0058,0.6217,-0.0883
"68","InvInef_less_8_2021","InvInef","less","8","2021",1.1471956271626,0.6948,1.0439,0.6656,-0.0886
