"Strategy_name","Test_period","value","variable","KPI"
"second_EW","2021",1.11931758803924,"Total Return","TotalReturn"
"second_EW","2021",0.6796,"Annualized Return","AnnualizedReturns"
"second_EW","2021",0.9249,"Annualized Std Dev","AnnualizedReturns"
"second_EW","2021",0.709,"Annualized Sharpe (Rf=1.43%)","AnnualizedReturns"
"second_EW","2021",0.0583,"daily  Std Dev","Distributions"
"second_EW","2021",-1.2138,"Skewness","Distributions"
"second_EW","2021",10.4317,"Kurtosis","Distributions"
"second_EW","2021",7.4317,"Excess kurtosis","Distributions"
"second_EW","2021",-1.2238,"Sample skewness","Distributions"
"second_EW","2021",7.5511,"Sample excess kurtosis","Distributions"
"second_EW","2021",0.045,"Semi Deviation","DownsideRisk"
"second_EW","2021",0.0337,"Gain Deviation","DownsideRisk"
"second_EW","2021",0.05,"Loss Deviation","DownsideRisk"
"second_EW","2021",0.0433,"Downside Deviation (MAR=0%)","DownsideRisk"
"second_EW","2021",0.0433,"Downside Deviation (Rf=0%)","DownsideRisk"
"second_EW","2021",0.0433,"Downside Deviation (0%)","DownsideRisk"
"second_EW","2021",0.7466,"Maximum Drawdown","DownsideRisk"
"second_EW","2021",-0.0809,"Historical VaR (95%)","DownsideRisk"
"second_EW","2021",-0.1404,"Historical ES (95%)","DownsideRisk"
"second_EW","2021",-0.1016,"Modified VaR (95%)","DownsideRisk"
"second_EW","2021",-0.2302,"Modified ES (95%)","DownsideRisk"
"second_EW","2021",0.0433,"daily downside risk","DownsideRiskRatio"
"second_EW","2021",0.6867,"Annualised downside risk","DownsideRiskRatio"
"second_EW","2021",0.0187,"Downside potential","DownsideRiskRatio"
"second_EW","2021",1.2068,"Omega","DownsideRiskRatio"
"second_EW","2021",0.0893,"Sortino ratio","DownsideRiskRatio"
"second_EW","2021",0.0225,"Upside potential","DownsideRiskRatio"
"second_EW","2021",0.567,"Upside potential ratio","DownsideRiskRatio"
"second_EW","2021",0.2068,"Omega-sharpe ratio","DownsideRiskRatio"
