"Strategy_name","Test_period","value","variable","KPI"
"third_EW","2022",-0.681811415479748,"Total Return","TotalReturn"
"third_EW","2022",-0.613,"Annualized Return","AnnualizedReturns"
"third_EW","2022",0.6263,"Annualized Std Dev","AnnualizedReturns"
"third_EW","2022",-1.0215,"Annualized Sharpe (Rf=2.76%)","AnnualizedReturns"
"third_EW","2022",0.0395,"daily  Std Dev","Distributions"
"third_EW","2022",-0.8325,"Skewness","Distributions"
"third_EW","2022",5.5398,"Kurtosis","Distributions"
"third_EW","2022",2.5398,"Excess kurtosis","Distributions"
"third_EW","2022",-0.8408,"Sample skewness","Distributions"
"third_EW","2022",2.6021,"Sample excess kurtosis","Distributions"
"third_EW","2022",0.0304,"Semi Deviation","DownsideRisk"
"third_EW","2022",0.0211,"Gain Deviation","DownsideRisk"
"third_EW","2022",0.0322,"Loss Deviation","DownsideRisk"
"third_EW","2022",0.0318,"Downside Deviation (MAR=0%)","DownsideRisk"
"third_EW","2022",0.0318,"Downside Deviation (Rf=0%)","DownsideRisk"
"third_EW","2022",0.0318,"Downside Deviation (0%)","DownsideRisk"
"third_EW","2022",0.733,"Maximum Drawdown","DownsideRisk"
"third_EW","2022",-0.073,"Historical VaR (95%)","DownsideRisk"
"third_EW","2022",-0.1034,"Historical ES (95%)","DownsideRisk"
"third_EW","2022",-0.0745,"Modified VaR (95%)","DownsideRisk"
"third_EW","2022",-0.1174,"Modified ES (95%)","DownsideRisk"
"third_EW","2022",0.0318,"daily downside risk","DownsideRiskRatio"
"third_EW","2022",0.5054,"Annualised downside risk","DownsideRiskRatio"
"third_EW","2022",0.0158,"Downside potential","DownsideRiskRatio"
"third_EW","2022",0.8123,"Omega","DownsideRiskRatio"
"third_EW","2022",-0.093,"Sortino ratio","DownsideRiskRatio"
"third_EW","2022",0.0128,"Upside potential","DownsideRiskRatio"
"third_EW","2022",0.5526,"Upside potential ratio","DownsideRiskRatio"
"third_EW","2022",-0.1877,"Omega-sharpe ratio","DownsideRiskRatio"
