"Strategy_name","Test_period","value","variable","KPI"
"third_InvInef_all","2022",-0.660122545134706,"Total Return","TotalReturn"
"third_InvInef_all","2022",-0.5912,"Annualized Return","AnnualizedReturns"
"third_InvInef_all","2022",0.6218,"Annualized Std Dev","AnnualizedReturns"
"third_InvInef_all","2022",-0.9958,"Annualized Sharpe (Rf=2.76%)","AnnualizedReturns"
"third_InvInef_all","2022",0.0392,"daily  Std Dev","Distributions"
"third_InvInef_all","2022",-0.8199,"Skewness","Distributions"
"third_InvInef_all","2022",5.525,"Kurtosis","Distributions"
"third_InvInef_all","2022",2.525,"Excess kurtosis","Distributions"
"third_InvInef_all","2022",-0.828,"Sample skewness","Distributions"
"third_InvInef_all","2022",2.5871,"Sample excess kurtosis","Distributions"
"third_InvInef_all","2022",0.0301,"Semi Deviation","DownsideRisk"
"third_InvInef_all","2022",0.0212,"Gain Deviation","DownsideRisk"
"third_InvInef_all","2022",0.0319,"Loss Deviation","DownsideRisk"
"third_InvInef_all","2022",0.0315,"Downside Deviation (MAR=0%)","DownsideRisk"
"third_InvInef_all","2022",0.0315,"Downside Deviation (Rf=0%)","DownsideRisk"
"third_InvInef_all","2022",0.0315,"Downside Deviation (0%)","DownsideRisk"
"third_InvInef_all","2022",0.7192,"Maximum Drawdown","DownsideRisk"
"third_InvInef_all","2022",-0.0753,"Historical VaR (95%)","DownsideRisk"
"third_InvInef_all","2022",-0.103,"Historical ES (95%)","DownsideRisk"
"third_InvInef_all","2022",-0.0737,"Modified VaR (95%)","DownsideRisk"
"third_InvInef_all","2022",-0.1162,"Modified ES (95%)","DownsideRisk"
"third_InvInef_all","2022",0.0315,"daily downside risk","DownsideRiskRatio"
"third_InvInef_all","2022",0.4993,"Annualised downside risk","DownsideRiskRatio"
"third_InvInef_all","2022",0.0155,"Downside potential","DownsideRiskRatio"
"third_InvInef_all","2022",0.8226,"Omega","DownsideRiskRatio"
"third_InvInef_all","2022",-0.0877,"Sortino ratio","DownsideRiskRatio"
"third_InvInef_all","2022",0.0128,"Upside potential","DownsideRiskRatio"
"third_InvInef_all","2022",0.5635,"Upside potential ratio","DownsideRiskRatio"
"third_InvInef_all","2022",-0.1774,"Omega-sharpe ratio","DownsideRiskRatio"
