"Strategy_name","Test_period","value","variable","KPI"
"first_MVP","2020",0.575651073455208,"Total Return","TotalReturn"
"first_MVP","2020",0.3676,"Annualized Return","AnnualizedReturns"
"first_MVP","2020",0.722,"Annualized Std Dev","AnnualizedReturns"
"first_MVP","2020",0.4924,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_MVP","2020",0.0455,"daily  Std Dev","Distributions"
"first_MVP","2020",-3.2486,"Skewness","Distributions"
"first_MVP","2020",33.7515,"Kurtosis","Distributions"
"first_MVP","2020",30.7515,"Excess kurtosis","Distributions"
"first_MVP","2020",-3.2754,"Sample skewness","Distributions"
"first_MVP","2020",31.1924,"Sample excess kurtosis","Distributions"
"first_MVP","2020",0.0373,"Semi Deviation","DownsideRisk"
"first_MVP","2020",0.0236,"Gain Deviation","DownsideRisk"
"first_MVP","2020",0.047,"Loss Deviation","DownsideRisk"
"first_MVP","2020",0.0364,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_MVP","2020",0.0364,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_MVP","2020",0.0364,"Downside Deviation (0%)","DownsideRisk"
"first_MVP","2020",0.6855,"Maximum Drawdown","DownsideRisk"
"first_MVP","2020",-0.0682,"Historical VaR (95%)","DownsideRisk"
"first_MVP","2020",-0.1144,"Historical ES (95%)","DownsideRisk"
"first_MVP","2020",-0.077,"Modified VaR (95%)","DownsideRisk"
"first_MVP","2020",-0.2407,"Modified ES (95%)","DownsideRisk"
"first_MVP","2020",0.0364,"daily downside risk","DownsideRiskRatio"
"first_MVP","2020",0.5774,"Annualised downside risk","DownsideRiskRatio"
"first_MVP","2020",0.0133,"Downside potential","DownsideRiskRatio"
"first_MVP","2020",1.1826,"Omega","DownsideRiskRatio"
"first_MVP","2020",0.0668,"Sortino ratio","DownsideRiskRatio"
"first_MVP","2020",0.0157,"Upside potential","DownsideRiskRatio"
"first_MVP","2020",0.4579,"Upside potential ratio","DownsideRiskRatio"
"first_MVP","2020",0.1826,"Omega-sharpe ratio","DownsideRiskRatio"
