"Strategy_name","Test_period","value","variable","KPI"
"second_maxSR","2021",-0.0764745869996768,"Total Return","TotalReturn"
"second_maxSR","2021",-0.0534,"Annualized Return","AnnualizedReturns"
"second_maxSR","2021",0.8136,"Annualized Std Dev","AnnualizedReturns"
"second_maxSR","2021",-0.0823,"Annualized Sharpe (Rf=1.43%)","AnnualizedReturns"
"second_maxSR","2021",0.0513,"daily  Std Dev","Distributions"
"second_maxSR","2021",-0.9965,"Skewness","Distributions"
"second_maxSR","2021",8.1458,"Kurtosis","Distributions"
"second_maxSR","2021",5.1458,"Excess kurtosis","Distributions"
"second_maxSR","2021",-1.0047,"Sample skewness","Distributions"
"second_maxSR","2021",5.2336,"Sample excess kurtosis","Distributions"
"second_maxSR","2021",0.0391,"Semi Deviation","DownsideRisk"
"second_maxSR","2021",0.0291,"Gain Deviation","DownsideRisk"
"second_maxSR","2021",0.0414,"Loss Deviation","DownsideRisk"
"second_maxSR","2021",0.0386,"Downside Deviation (MAR=0%)","DownsideRisk"
"second_maxSR","2021",0.0386,"Downside Deviation (Rf=0%)","DownsideRisk"
"second_maxSR","2021",0.0386,"Downside Deviation (0%)","DownsideRisk"
"second_maxSR","2021",0.7044,"Maximum Drawdown","DownsideRisk"
"second_maxSR","2021",-0.079,"Historical VaR (95%)","DownsideRisk"
"second_maxSR","2021",-0.1241,"Historical ES (95%)","DownsideRisk"
"second_maxSR","2021",-0.0913,"Modified VaR (95%)","DownsideRisk"
"second_maxSR","2021",-0.1788,"Modified ES (95%)","DownsideRisk"
"second_maxSR","2021",0.0386,"daily downside risk","DownsideRiskRatio"
"second_maxSR","2021",0.6123,"Annualised downside risk","DownsideRiskRatio"
"second_maxSR","2021",0.018,"Downside potential","DownsideRiskRatio"
"second_maxSR","2021",1.0639,"Omega","DownsideRiskRatio"
"second_maxSR","2021",0.0298,"Sortino ratio","DownsideRiskRatio"
"second_maxSR","2021",0.0192,"Upside potential","DownsideRiskRatio"
"second_maxSR","2021",0.6097,"Upside potential ratio","DownsideRiskRatio"
"second_maxSR","2021",0.0639,"Omega-sharpe ratio","DownsideRiskRatio"
