"","InfIneff2020","InfIneff2021","InfIneff2022"
"BTC",0.0275560665184022,0.0273033911956469,0.0437200691313304
"ETH",0.0538200426383092,0.0445410160518849,0.052935649441706
"BNB",0.0289965912563576,0.0494738973084454,0.121799219356139
"XRP",0.0357142242276395,0.0234597099108229,0.0345953553250679
"ADA",0.137355890809144,0.0893440380805456,0.0501933280301203
"DOGE",0.0315022749573146,0.0181525363352995,0.021636426662746
"TRX",0.0270670959240994,0.0395680704562148,0.0540988607586887
"LTC",0.0570513640959242,0.0505320367470766,0.0506845890874519
"BTCH",0.053202557064212,0.057007724029946,0.0650404666375574
"LINK",0.0384505379246825,0.0318703253344872,0.051714337970427
"XLM",0.0458577420264707,0.0326834937952196,0.0384481406723297
"ETC",0.0395659972160129,0.165092244279269,0.073834040052173
"XRM",0.0506016463740366,0.060962961763675,0.0847030104151832
"FIL",0.126283629458516,0.0199773403449548,0.0362925175123538
"MANA",0.0491430147702068,0.0655887756421032,0.0305800117015109
"EOS",0.0681130269347344,0.04877036941094,0.0471665946815703
"KCS",0.0264676648043192,0.0376085621916693,0.0360572478910252
"ZEC",0.0509127676077812,0.0872901521476594,0.0731863730341715
"WAVES",0.0523378653918365,0.05077335497414,0.0333137616384472
