"","MVP_2020","MVP_2021","MVP_2022"
"BTC",0.817673754794911,0.417917676417552,0.89627570317153
"ETH",0,5.8742946122691e-17,1.90960345658245e-17
"BNB",0.0245691588433001,0,0
"XRP",0.0199097404157569,0,5.16855169738481e-20
"ADA",0,2.07366706641342e-17,6.76351970836212e-18
"DOGE",0.092772945504449,0.260678414207457,0
"TRX",0,0,0
"LTC",1.66620215001128e-17,9.78975528193244e-18,1.56163560132322e-17
"BTCH",0,0,0
"LINK",2.20236328132266e-20,0,0
"XLM",0,8.72152960578282e-18,4.37737869337174e-18
"ETC",0,2.81585304574087e-17,4.06828638747765e-18
"XRM",0,0,8.08964679907028e-19
"FIL",0.0336512269104848,0.0300864083241919,0.0417686614573752
"MANA",0,5.1341408066795e-19,1.10174344696643e-17
"EOS",0,7.42107084232131e-17,0
"KCS",1.33841285861342e-18,0.228313969312479,0.0400810580181304
"ZEC",0,0,3.93097832598748e-17
"WAVES",0.0114231735310983,0.0630035317383189,0.021874577352964
