"","maxSR_2020","maxSR_2021","maxSR_2022"
"BTC",0.05,0.0500000160251316,0.05
"ETH",0.05,0.0499999999999998,0.05
"BNB",0.0500000694278713,0.05,0.05
"XRP",0.0500000000000001,0.05,0.05
"ADA",0.0500000000000003,0.05,0.05
"DOGE",0.05,0.05,0.0629489401567271
"TRX",0.05,0.0500000000000001,0.05
"LTC",0.0499999999999999,0.0500000000000001,0.0500000000000001
"BTCH",0.0499999999999999,0.0499999999999999,0.05
"LINK",0.0999999305721293,0.0999999839748689,0.05
"XLM",0.05,0.0500000000000001,0.0499999999999999
"ETC",0.0500000000000001,0.05,0.05
"XRM",0.05,0.05,0.05
"FIL",0.05,0.05,0.05
"MANA",0.05,0.05,0.0870510598432723
"EOS",0.05,0.05,0.0500000000000002
"KCS",0.0500000000000001,0.05,0.05
"ZEC",0.0500000000000001,0.05,0.0500000000000001
"WAVES",0.05,0.05,0.05
