"From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
2020-02-15,2020-03-16,NA,-0.6945,322,31,NA,"first_MVP_top4"
2020-01-18,2020-01-25,2020-01-30,-0.1241,13,8,5,"first_MVP_top4"
2020-01-08,2020-01-09,2020-01-10,-0.0412,3,2,1,"first_MVP_top4"
2020-01-15,2020-01-15,2020-01-17,-0.0357,3,1,2,"first_MVP_top4"
2020-02-02,2020-02-04,2020-02-05,-0.0354,4,3,1,"first_MVP_top4"
2020-02-13,2020-03-16,2020-11-05,-0.6051,267,33,234,"first_MVP_bottom4"
2020-11-25,2020-11-27,2020-11-30,-0.1105,6,3,3,"first_MVP_bottom4"
2020-12-01,2020-12-11,2020-12-16,-0.0849,16,11,5,"first_MVP_bottom4"
2020-01-19,2020-01-25,2020-01-28,-0.0645,10,7,3,"first_MVP_bottom4"
2020-11-07,2020-11-07,2020-11-11,-0.0481,5,1,4,"first_MVP_bottom4"
2020-02-15,2020-12-23,NA,-0.7488,322,313,NA,"first_maxSR_top4"
2020-01-18,2020-01-25,2020-01-27,-0.1021,10,8,2,"first_maxSR_top4"
2020-01-02,2020-01-02,2020-01-03,-0.0554,2,1,1,"first_maxSR_top4"
2020-01-31,2020-01-31,2020-02-05,-0.0472,6,1,5,"first_maxSR_top4"
2020-01-07,2020-01-09,2020-01-10,-0.0352,4,3,1,"first_maxSR_top4"
2020-02-13,2020-03-16,NA,-0.7359,324,33,NA,"first_maxSR_bottom4"
2020-01-18,2020-01-25,2020-01-30,-0.0665,13,8,5,"first_maxSR_bottom4"
2020-01-01,2020-01-02,2020-01-04,-0.0522,4,2,2,"first_maxSR_bottom4"
2020-01-08,2020-01-09,2020-01-10,-0.0344,3,2,1,"first_maxSR_bottom4"
2020-01-16,2020-01-16,2020-01-17,-0.0328,2,1,1,"first_maxSR_bottom4"
2020-02-15,2020-03-16,NA,-0.7135,322,31,NA,"first_EW_top4"
2020-01-18,2020-01-25,2020-01-27,-0.1199,10,8,2,"first_EW_top4"
2020-01-15,2020-01-15,2020-01-17,-0.0656,3,1,2,"first_EW_top4"
2020-01-08,2020-01-09,2020-01-12,-0.0561,5,2,3,"first_EW_top4"
2020-01-28,2020-01-28,2020-01-30,-0.0556,3,1,2,"first_EW_top4"
2020-02-15,2020-03-16,NA,-0.6239,322,31,NA,"first_EW_bottom4"
2020-01-18,2020-01-25,2020-01-28,-0.069,11,8,3,"first_EW_bottom4"
2020-01-01,2020-01-02,2020-01-03,-0.0417,3,2,1,"first_EW_bottom4"
2020-01-08,2020-01-09,2020-01-12,-0.0324,5,2,3,"first_EW_bottom4"
2020-01-31,2020-02-04,2020-02-05,-0.028,6,5,1,"first_EW_bottom4"
2020-02-15,2020-03-16,NA,-0.7085,322,31,NA,"first_InvInef_top4"
2020-01-18,2020-01-25,2020-01-30,-0.1215,13,8,5,"first_InvInef_top4"
2020-01-15,2020-01-15,2020-01-17,-0.0537,3,1,2,"first_InvInef_top4"
2020-01-08,2020-01-09,2020-01-10,-0.0504,3,2,1,"first_InvInef_top4"
2020-01-13,2020-01-13,2020-01-14,-0.0353,2,1,1,"first_InvInef_top4"
2020-02-15,2020-03-16,NA,-0.635,322,31,NA,"first_InvInef_bottom4"
2020-01-18,2020-01-25,2020-01-28,-0.068,11,8,3,"first_InvInef_bottom4"
2020-01-01,2020-01-02,2020-01-03,-0.044,3,2,1,"first_InvInef_bottom4"
2020-01-08,2020-01-09,2020-01-12,-0.0329,5,2,3,"first_InvInef_bottom4"
2020-01-31,2020-02-04,2020-02-05,-0.0276,6,5,1,"first_InvInef_bottom4"
