"Strategy_name","Test_period","value","variable","KPI"
"first_MVP_top4","2020",0.736907690069103,"Total Return","TotalReturn"
"first_MVP_top4","2020",0.4625,"Annualized Return","AnnualizedReturns"
"first_MVP_top4","2020",0.8016,"Annualized Std Dev","AnnualizedReturns"
"first_MVP_top4","2020",0.5608,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_MVP_top4","2020",0.0505,"daily  Std Dev","Distributions"
"first_MVP_top4","2020",-1.7642,"Skewness","Distributions"
"first_MVP_top4","2020",17.3259,"Kurtosis","Distributions"
"first_MVP_top4","2020",14.3259,"Excess kurtosis","Distributions"
"first_MVP_top4","2020",-1.7787,"Sample skewness","Distributions"
"first_MVP_top4","2020",14.5402,"Sample excess kurtosis","Distributions"
"first_MVP_top4","2020",0.0392,"Semi Deviation","DownsideRisk"
"first_MVP_top4","2020",0.0293,"Gain Deviation","DownsideRisk"
"first_MVP_top4","2020",0.0446,"Loss Deviation","DownsideRisk"
"first_MVP_top4","2020",0.038,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_MVP_top4","2020",0.038,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_MVP_top4","2020",0.038,"Downside Deviation (0%)","DownsideRisk"
"first_MVP_top4","2020",0.6945,"Maximum Drawdown","DownsideRisk"
"first_MVP_top4","2020",-0.0765,"Historical VaR (95%)","DownsideRisk"
"first_MVP_top4","2020",-0.1229,"Historical ES (95%)","DownsideRisk"
"first_MVP_top4","2020",-0.0878,"Modified VaR (95%)","DownsideRisk"
"first_MVP_top4","2020",-0.2589,"Modified ES (95%)","DownsideRisk"
"first_MVP_top4","2020",0.038,"daily downside risk","DownsideRiskRatio"
"first_MVP_top4","2020",0.6027,"Annualised downside risk","DownsideRiskRatio"
"first_MVP_top4","2020",0.0159,"Downside potential","DownsideRiskRatio"
"first_MVP_top4","2020",1.1818,"Omega","DownsideRiskRatio"
"first_MVP_top4","2020",0.0762,"Sortino ratio","DownsideRiskRatio"
"first_MVP_top4","2020",0.0188,"Upside potential","DownsideRiskRatio"
"first_MVP_top4","2020",0.5815,"Upside potential ratio","DownsideRiskRatio"
"first_MVP_top4","2020",0.1818,"Omega-sharpe ratio","DownsideRiskRatio"
"first_MVP_bottom4","2020",1.79381720984686,"Total Return","TotalReturn"
"first_MVP_bottom4","2020",1.0287,"Annualized Return","AnnualizedReturns"
"first_MVP_bottom4","2020",0.6377,"Annualized Std Dev","AnnualizedReturns"
"first_MVP_bottom4","2020",1.5851,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_MVP_bottom4","2020",0.0402,"daily  Std Dev","Distributions"
"first_MVP_bottom4","2020",-4.1838,"Skewness","Distributions"
"first_MVP_bottom4","2020",55.0088,"Kurtosis","Distributions"
"first_MVP_bottom4","2020",52.0088,"Excess kurtosis","Distributions"
"first_MVP_bottom4","2020",-4.2183,"Sample skewness","Distributions"
"first_MVP_bottom4","2020",52.743,"Sample excess kurtosis","Distributions"
"first_MVP_bottom4","2020",0.0322,"Semi Deviation","DownsideRisk"
"first_MVP_bottom4","2020",0.0247,"Gain Deviation","DownsideRisk"
"first_MVP_bottom4","2020",0.0418,"Loss Deviation","DownsideRisk"
"first_MVP_bottom4","2020",0.031,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_MVP_bottom4","2020",0.031,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_MVP_bottom4","2020",0.031,"Downside Deviation (0%)","DownsideRisk"
"first_MVP_bottom4","2020",0.6051,"Maximum Drawdown","DownsideRisk"
"first_MVP_bottom4","2020",-0.0466,"Historical VaR (95%)","DownsideRisk"
"first_MVP_bottom4","2020",-0.0874,"Historical ES (95%)","DownsideRisk"
"first_MVP_bottom4","2020",-0.0546,"Modified VaR (95%)","DownsideRisk"
"first_MVP_bottom4","2020",-0.0546,"Modified ES (95%)","DownsideRisk"
