"","second_MVP_top4","second_MVP_bottom4","second_maxSR_top4","second_maxSR_bottom4","second_EW_top4","second_EW_bottom4","second_InvInef_top4","second_InvInef_bottom4"
"Semi Deviation",0.0486,0.0525,0.0442,0.0307,0.048,0.0498,0.05,0.053
"Gain Deviation",0.0467,0.0748,0.053,0.0279,0.0459,0.0577,0.0513,0.0696
"Loss Deviation",0.0506,0.0548,0.0414,0.03,0.0495,0.0526,0.0507,0.0552
"Downside Deviation (MAR=0%)",0.0462,0.0504,0.0414,0.0301,0.0453,0.0481,0.047,0.0509
"Downside Deviation (Rf=0%)",0.0462,0.0504,0.0414,0.0301,0.0453,0.0481,0.047,0.0509
"Downside Deviation (0%)",0.0462,0.0504,0.0414,0.0301,0.0453,0.0481,0.047,0.0509
"Maximum Drawdown",0.7759,0.8139,0.6426,0.6118,0.7463,0.8314,0.7622,0.8436
"Historical VaR (95%)",-0.0933,-0.0929,-0.0922,-0.0662,-0.0931,-0.0936,-0.0974,-0.097
"Historical ES (95%)",-0.1495,-0.1696,-0.1291,-0.0975,-0.1464,-0.1597,-0.1515,-0.1699
"Modified VaR (95%)",-0.1049,-0.0731,-0.093,-0.0699,-0.1028,-0.0935,-0.1015,-0.0798
"Modified ES (95%)",-0.1882,-0.0731,-0.1196,-0.1035,-0.1792,-0.0935,-0.1524,-0.0798
