"","second_MVP_top8","second_MVP_bottom8","second_maxSR_top8","second_maxSR_bottom8","second_EW_top8","second_EW_bottom8","second_InvInef_top8","second_InvInef_bottom8"
"Semi Deviation",0.047,0.0523,0.0425,0.0391,0.0465,0.0478,0.0451,0.0496
"Gain Deviation",0.0405,0.055,0.0382,0.0291,0.0396,0.0389,0.0348,0.0402
"Loss Deviation",0.0516,0.0546,0.0442,0.0414,0.0501,0.0518,0.0503,0.0531
"Downside Deviation (MAR=0%)",0.0457,0.0495,0.0412,0.0386,0.0447,0.046,0.044,0.0475
"Downside Deviation (Rf=0%)",0.0457,0.0495,0.0412,0.0386,0.0447,0.046,0.044,0.0475
"Downside Deviation (0%)",0.0457,0.0495,0.0412,0.0386,0.0447,0.046,0.044,0.0475
"Maximum Drawdown",0.7844,0.7672,0.6653,0.7044,0.7521,0.7717,0.7514,0.78
"Historical VaR (95%)",-0.0916,-0.0892,-0.0839,-0.079,-0.0912,-0.0883,-0.0885,-0.0886
"Historical ES (95%)",-0.1491,-0.1623,-0.1321,-0.1241,-0.1462,-0.148,-0.1443,-0.1532
"Modified VaR (95%)",-0.1051,-0.1026,-0.0967,-0.0913,-0.1034,-0.1072,-0.1023,-0.1111
"Modified ES (95%)",-0.232,-0.14,-0.1814,-0.1788,-0.2092,-0.2304,-0.2381,-0.2344
