"","third_MVP_top8","third_MVP_bottom8","third_maxSR_top8","third_maxSR_bottom8","third_EW_top8","third_EW_bottom8","third_InvInef_top8","third_InvInef_bottom8"
"Semi Deviation",0.0291,0.0254,0.0302,0.0336,0.0301,0.0313,0.0281,0.0316
"Gain Deviation",0.0211,0.0221,0.0236,0.0259,0.0221,0.023,0.0199,0.0241
"Loss Deviation",0.0307,0.0269,0.031,0.0359,0.0317,0.0331,0.0301,0.0337
"Downside Deviation (MAR=0%)",0.0301,0.0267,0.0313,0.0351,0.0312,0.0329,0.0291,0.033
"Downside Deviation (Rf=0%)",0.0301,0.0267,0.0313,0.0351,0.0312,0.0329,0.0291,0.033
"Downside Deviation (0%)",0.0301,0.0267,0.0313,0.0351,0.0312,0.0329,0.0291,0.033
"Maximum Drawdown",0.667,0.6889,0.7488,0.803,0.6911,0.7788,0.6293,0.7701
"Historical VaR (95%)",-0.0672,-0.0601,-0.0713,-0.0739,-0.0766,-0.0717,-0.0668,-0.0726
"Historical ES (95%)",-0.099,-0.0891,-0.1016,-0.1121,-0.1035,-0.104,-0.0967,-0.105
"Modified VaR (95%)",-0.0706,-0.0608,-0.0729,-0.0812,-0.0731,-0.0769,-0.0682,-0.0769
"Modified ES (95%)",-0.1152,-0.1029,-0.1117,-0.1556,-0.1158,-0.131,-0.1162,-0.1351
