"","From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
"1",2022-01-02,2022-06-18,NA,-0.667,304,168,NA,"third_MVP_top8"
"2",2022-01-02,2022-09-21,NA,-0.6889,304,263,NA,"third_MVP_bottom8"
"3",2022-01-03,2022-06-18,NA,-0.7488,303,167,NA,"third_maxSR_top8"
"4",2022-01-03,2022-10-11,NA,-0.803,303,282,NA,"third_maxSR_bottom8"
"5",2022-01-03,2022-06-18,NA,-0.6911,303,167,NA,"third_EW_top8"
"6",2022-03-31,2022-09-06,NA,-0.7788,216,160,NA,"third_EW_bottom8"
"7",2022-01-03,2022-01-22,2022-03-29,-0.3651,86,20,66,"third_EW_bottom8"
"8",2022-01-03,2022-06-18,NA,-0.6293,303,167,NA,"third_InvInef_top8"
"9",2022-03-31,2022-09-06,NA,-0.7701,216,160,NA,"third_InvInef_bottom8"
"10",2022-01-03,2022-01-22,2022-03-29,-0.3446,86,20,66,"third_InvInef_bottom8"
