"From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
2021-05-07,2021-07-20,NA,-0.7844,240,75,NA,"second_MVP_top8"
2021-02-20,2021-02-28,2021-03-13,-0.309,22,9,13,"second_MVP_top8"
2021-01-11,2021-01-27,2021-02-08,-0.231,29,17,12,"second_MVP_top8"
2021-04-18,2021-04-25,2021-04-30,-0.216,13,8,5,"second_MVP_top8"
2021-03-14,2021-03-25,2021-03-28,-0.1422,15,12,3,"second_MVP_top8"
2021-05-06,2021-06-21,NA,-0.7672,241,47,NA,"second_MVP_bottom8"
2021-04-17,2021-04-25,2021-05-03,-0.3313,17,9,8,"second_MVP_bottom8"
2021-02-22,2021-02-28,2021-04-02,-0.2929,40,7,33,"second_MVP_bottom8"
2021-01-30,2021-01-30,2021-02-06,-0.2837,8,1,7,"second_MVP_bottom8"
2021-01-10,2021-01-27,2021-01-28,-0.2223,19,18,1,"second_MVP_bottom8"
2021-05-17,2021-12-17,NA,-0.6653,230,215,NA,"second_maxSR_top8"
2021-01-10,2021-01-27,2021-02-03,-0.2165,25,18,7,"second_maxSR_top8"
2021-04-16,2021-04-25,2021-05-05,-0.2158,20,10,10,"second_maxSR_top8"
2021-03-18,2021-03-24,2021-04-11,-0.1952,25,7,18,"second_maxSR_top8"
2021-02-21,2021-02-23,2021-02-27,-0.1731,7,3,4,"second_maxSR_top8"
2021-05-10,2021-07-20,NA,-0.7044,237,72,NA,"second_maxSR_bottom8"
2021-02-22,2021-02-28,2021-04-01,-0.2606,39,7,32,"second_maxSR_bottom8"
2021-04-16,2021-04-25,2021-05-09,-0.2504,24,10,14,"second_maxSR_bottom8"
2021-01-18,2021-01-21,2021-02-03,-0.1827,17,4,13,"second_maxSR_bottom8"
2021-01-10,2021-01-12,2021-01-17,-0.1804,8,3,5,"second_maxSR_bottom8"
2021-05-07,2021-07-20,NA,-0.7521,240,75,NA,"second_EW_top8"
2021-04-18,2021-04-25,2021-05-03,-0.2566,16,8,8,"second_EW_top8"
2021-02-20,2021-02-23,2021-03-12,-0.2286,21,4,17,"second_EW_top8"
2021-01-11,2021-01-27,2021-02-05,-0.1898,26,17,9,"second_EW_top8"
2021-03-18,2021-03-25,2021-04-02,-0.1795,16,8,8,"second_EW_top8"
2021-05-06,2021-07-20,NA,-0.7717,241,76,NA,"second_EW_bottom8"
2021-04-17,2021-04-25,2021-05-05,-0.3323,19,9,10,"second_EW_bottom8"
2021-02-22,2021-02-28,2021-03-31,-0.2807,38,7,31,"second_EW_bottom8"
2021-01-10,2021-01-27,2021-01-28,-0.1703,19,18,1,"second_EW_bottom8"
2021-02-14,2021-02-16,2021-02-19,-0.13,6,3,3,"second_EW_bottom8"
2021-05-07,2021-07-20,NA,-0.7514,240,75,NA,"second_InvInef_top8"
2021-01-11,2021-01-27,2021-02-06,-0.2467,27,17,10,"second_InvInef_top8"
2021-02-20,2021-02-23,2021-03-13,-0.2381,22,4,18,"second_InvInef_top8"
2021-04-18,2021-04-25,2021-05-01,-0.2304,14,8,6,"second_InvInef_top8"
2021-03-18,2021-03-25,2021-04-02,-0.1523,16,8,8,"second_InvInef_top8"
2021-05-06,2021-07-20,NA,-0.78,241,76,NA,"second_InvInef_bottom8"
2021-04-17,2021-04-25,2021-05-05,-0.3289,19,9,10,"second_InvInef_bottom8"
2021-02-22,2021-02-28,2021-04-01,-0.2947,39,7,32,"second_InvInef_bottom8"
2021-01-10,2021-01-12,2021-01-17,-0.156,8,3,5,"second_InvInef_bottom8"
2021-01-18,2021-01-21,2021-01-28,-0.1442,11,4,7,"second_InvInef_bottom8"
