"Strategy_name","Test_period","value","variable","KPI"
"first_MVP_top8","2020",1.10026305928507,"Total Return","TotalReturn"
"first_MVP_top8","2020",0.6668,"Annualized Return","AnnualizedReturns"
"first_MVP_top8","2020",0.7821,"Annualized Std Dev","AnnualizedReturns"
"first_MVP_top8","2020",0.8338,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_MVP_top8","2020",0.0493,"daily  Std Dev","Distributions"
"first_MVP_top8","2020",-2.7034,"Skewness","Distributions"
"first_MVP_top8","2020",25.867,"Kurtosis","Distributions"
"first_MVP_top8","2020",22.867,"Excess kurtosis","Distributions"
"first_MVP_top8","2020",-2.7257,"Sample skewness","Distributions"
"first_MVP_top8","2020",23.199,"Sample excess kurtosis","Distributions"
"first_MVP_top8","2020",0.0399,"Semi Deviation","DownsideRisk"
"first_MVP_top8","2020",0.0264,"Gain Deviation","DownsideRisk"
"first_MVP_top8","2020",0.0497,"Loss Deviation","DownsideRisk"
"first_MVP_top8","2020",0.0386,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_MVP_top8","2020",0.0386,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_MVP_top8","2020",0.0386,"Downside Deviation (0%)","DownsideRisk"
"first_MVP_top8","2020",0.6951,"Maximum Drawdown","DownsideRisk"
"first_MVP_top8","2020",-0.0772,"Historical VaR (95%)","DownsideRisk"
"first_MVP_top8","2020",-0.1246,"Historical ES (95%)","DownsideRisk"
"first_MVP_top8","2020",-0.0859,"Modified VaR (95%)","DownsideRisk"
"first_MVP_top8","2020",-0.2861,"Modified ES (95%)","DownsideRisk"
"first_MVP_top8","2020",0.0386,"daily downside risk","DownsideRiskRatio"
"first_MVP_top8","2020",0.6133,"Annualised downside risk","DownsideRiskRatio"
"first_MVP_top8","2020",0.0143,"Downside potential","DownsideRiskRatio"
"first_MVP_top8","2020",1.2378,"Omega","DownsideRiskRatio"
"first_MVP_top8","2020",0.088,"Sortino ratio","DownsideRiskRatio"
"first_MVP_top8","2020",0.0177,"Upside potential","DownsideRiskRatio"
"first_MVP_top8","2020",0.4852,"Upside potential ratio","DownsideRiskRatio"
"first_MVP_top8","2020",0.2378,"Omega-sharpe ratio","DownsideRiskRatio"
"first_MVP_bottom8","2020",1.63669883950525,"Total Return","TotalReturn"
"first_MVP_bottom8","2020",0.9494,"Annualized Return","AnnualizedReturns"
"first_MVP_bottom8","2020",0.6262,"Annualized Std Dev","AnnualizedReturns"
"first_MVP_bottom8","2020",1.4887,"Annualized Sharpe (Rf=0.89%)","AnnualizedReturns"
"first_MVP_bottom8","2020",0.0394,"daily  Std Dev","Distributions"
"first_MVP_bottom8","2020",-4.0634,"Skewness","Distributions"
"first_MVP_bottom8","2020",52.5686,"Kurtosis","Distributions"
"first_MVP_bottom8","2020",49.5686,"Excess kurtosis","Distributions"
"first_MVP_bottom8","2020",-4.097,"Sample skewness","Distributions"
"first_MVP_bottom8","2020",50.269,"Sample excess kurtosis","Distributions"
"first_MVP_bottom8","2020",0.0316,"Semi Deviation","DownsideRisk"
"first_MVP_bottom8","2020",0.0239,"Gain Deviation","DownsideRisk"
"first_MVP_bottom8","2020",0.0407,"Loss Deviation","DownsideRisk"
"first_MVP_bottom8","2020",0.0304,"Downside Deviation (MAR=0%)","DownsideRisk"
"first_MVP_bottom8","2020",0.0304,"Downside Deviation (Rf=0%)","DownsideRisk"
"first_MVP_bottom8","2020",0.0304,"Downside Deviation (0%)","DownsideRisk"
"first_MVP_bottom8","2020",0.5965,"Maximum Drawdown","DownsideRisk"
"first_MVP_bottom8","2020",-0.0469,"Historical VaR (95%)","DownsideRisk"
"first_MVP_bottom8","2020",-0.0859,"Historical ES (95%)","DownsideRisk"
"first_MVP_bottom8","2020",-0.0551,"Modified VaR (95%)","DownsideRisk"
"first_MVP_bottom8","2020",-0.0551,"Modified ES (95%)","DownsideRisk"
"first_MVP_bottom8","2020",0.0304,"daily downside risk","DownsideRiskRatio"
"first_MVP_bottom8","2020",0.483,"Annualised downside risk","DownsideRiskRatio"
"first_MVP_bottom8","2020",0.0099,"Downside potential","DownsideRiskRatio"
"first_MVP_bottom8","2020",1.361,"Omega","DownsideRiskRatio"
"first_MVP_bottom8","2020",0.1169,"Sortino ratio","DownsideRiskRatio"
"first_MVP_bottom8","2020",0.0134,"Upside potential","DownsideRiskRatio"
"first_MVP_bottom8","2020",0.4974,"Upside potential ratio","DownsideRiskRatio"
