"","first_MVP_top8","first_MVP_bottom8","first_maxSR_top8","first_maxSR_bottom8","first_EW_top8","first_EW_bottom8","first_InvInef_top8","first_InvInef_bottom8"
"Semi Deviation",0.0399,0.0316,0.042,0.05,0.04,0.0362,0.0412,0.0358
"Gain Deviation",0.0264,0.0239,0.0343,0.0421,0.0267,0.0254,0.0306,0.0244
"Loss Deviation",0.0497,0.0407,0.0508,0.0577,0.0488,0.0451,0.0466,0.0442
"Downside Deviation (MAR=0%)",0.0386,0.0304,0.042,0.0481,0.039,0.0354,0.0402,0.0351
"Downside Deviation (Rf=0%)",0.0386,0.0304,0.042,0.0481,0.039,0.0354,0.0402,0.0351
"Downside Deviation (0%)",0.0386,0.0304,0.042,0.0481,0.039,0.0354,0.0402,0.0351
"Maximum Drawdown",0.6951,0.5965,0.7488,0.7363,0.7117,0.6529,0.7057,0.6623
"Historical VaR (95%)",-0.0772,-0.0469,-0.07,-0.0879,-0.0792,-0.0657,-0.0888,-0.068
"Historical ES (95%)",-0.1246,-0.0859,-0.1376,-0.1489,-0.1253,-0.1103,-0.1321,-0.1095
"Modified VaR (95%)",-0.0859,-0.0551,-0.0934,-0.1076,-0.0873,-0.076,-0.0937,-0.0749
"Modified ES (95%)",-0.2861,-0.0551,-0.305,-0.3496,-0.2878,-0.2447,-0.226,-0.2363
