"","first_MVP_top4","first_MVP_bottom4","first_maxSR_top4","first_maxSR_bottom4","first_EW_top4","first_EW_bottom4","first_InvInef_top4","first_InvInef_bottom4"
"Semi Deviation",0.0392,0.0322,0.042,0.0413,0.0398,0.0316,0.0392,0.0323
"Gain Deviation",0.0293,0.0247,0.0343,0.0279,0.0303,0.0209,0.0291,0.0211
"Loss Deviation",0.0446,0.0418,0.0508,0.051,0.0438,0.0391,0.0443,0.0401
"Downside Deviation (MAR=0%)",0.038,0.031,0.042,0.0403,0.0388,0.0308,0.0382,0.0316
"Downside Deviation (Rf=0%)",0.038,0.031,0.042,0.0403,0.0388,0.0308,0.0382,0.0316
"Downside Deviation (0%)",0.038,0.031,0.042,0.0403,0.0388,0.0308,0.0382,0.0316
"Maximum Drawdown",0.6945,0.6051,0.7488,0.7359,0.7135,0.6239,0.7085,0.635
"Historical VaR (95%)",-0.0765,-0.0466,-0.07,-0.0658,-0.0791,-0.0546,-0.079,-0.0577
"Historical ES (95%)",-0.1229,-0.0874,-0.1376,-0.1221,-0.1242,-0.0947,-0.1237,-0.0979
"Modified VaR (95%)",-0.0878,-0.0546,-0.0934,-0.0822,-0.0905,-0.0634,-0.0887,-0.065
"Modified ES (95%)",-0.2589,-0.0546,-0.305,-0.2145,-0.2395,-0.1801,-0.2554,-0.1852
