"","third_MVP_top4","third_MVP_bottom4","third_maxSR_top4","third_maxSR_bottom4","third_EW_top4","third_EW_bottom4","third_InvInef_top4","third_InvInef_bottom4"
"Semi Deviation",0.0323,0.0373,0.0284,0.0385,0.0329,0.0362,0.0329,0.0363
"Gain Deviation",0.0253,0.0342,0.0213,0.0351,0.0274,0.0303,0.027,0.0291
"Loss Deviation",0.0334,0.0388,0.03,0.0402,0.0346,0.0377,0.0341,0.0378
"Downside Deviation (MAR=0%)",0.0331,0.0388,0.0291,0.0402,0.0338,0.0376,0.0338,0.038
"Downside Deviation (Rf=0%)",0.0331,0.0388,0.0291,0.0402,0.0338,0.0376,0.0338,0.038
"Downside Deviation (0%)",0.0331,0.0388,0.0291,0.0402,0.0338,0.0376,0.0338,0.038
"Maximum Drawdown",0.6901,0.8697,0.6851,0.8732,0.6989,0.8455,0.6954,0.826
"Historical VaR (95%)",-0.0763,-0.0801,-0.0623,-0.088,-0.0743,-0.0808,-0.0791,-0.082
"Historical ES (95%)",-0.1082,-0.1203,-0.093,-0.1242,-0.1108,-0.1168,-0.111,-0.1165
"Modified VaR (95%)",-0.0772,-0.0885,-0.069,-0.0909,-0.0784,-0.0873,-0.0784,-0.0883
"Modified ES (95%)",-0.1229,-0.1621,-0.114,-0.1667,-0.1224,-0.1624,-0.1241,-0.1652
