Strategy_name,Cum Ret.,Ann Ret.,Ann Vol.,SR,VaR (95%)
MVP_index_0.4,2.0821985069643363,1.1753,1.1805,0.9955,-0.0909
maxSR_index_0.4,0.40452003326955377,0.2643,0.8826,0.2995,-0.0827
MVP_more4_0.4,1.8142157267968324,1.0429,1.073,0.9719,-0.0933
MVP_less4_0.4,0.752017347511517,0.4728,1.3912,0.3398,-0.095
maxSR_more4_0.4,3.46577856461235,1.8099,1.1063,1.636,-0.0996
maxSR_less4_0.4,0.6358641810364565,0.4047,1.4109,0.2868,-0.0937
MVP_more8_0.4,0.42663575027871903,0.278,1.0004,0.2779,-0.0914
MVP_less8_0.4,2.37272175907953,1.3149,1.2212,1.0766,-0.0907
maxSR_more8_0.4,0.479684123901553,0.3106,0.9233,0.3365,-0.0839
maxSR_less8_0.4,0.012714231072462168,0.0088,0.9559,0.0092,-0.0886
MVP_index_0.5,2.035625887605883,1.1525,1.1706,0.9845,-0.0904
maxSR_index_0.5,-0.12797185292404112,-0.0902,0.8556,-0.1054,-0.084
MVP_more4_0.5,1.8142157267968324,1.0429,1.073,0.9719,-0.0933
MVP_less4_0.5,0.7393442013029958,0.4654,1.4026,0.3318,-0.0935
maxSR_more4_0.5,4.2049980940299,2.1234,1.1471,1.851,-0.0993
maxSR_less4_0.5,0.6327913885502823,0.4028,1.368,0.2945,-0.0933
MVP_more8_0.5,0.414263614056092,0.2704,0.9987,0.2707,-0.0916
MVP_less8_0.5,2.1660753071198324,1.216,1.183,1.0279,-0.0892
maxSR_more8_0.5,0.47968412335625166,0.3106,0.9233,0.3365,-0.0839
maxSR_less8_0.5,-0.12797185287806134,-0.0902,0.8556,-0.1054,-0.084
MVP_index_0.6,2.035625887605883,1.1525,1.1706,0.9845,-0.0904
maxSR_index_0.6,-0.0764745807684516,-0.0534,0.8136,-0.0657,-0.079
MVP_more4_0.6,1.8142157267968324,1.0429,1.073,0.9719,-0.0933
MVP_less4_0.6,0.6552709760478055,0.4162,1.3323,0.3124,-0.0928
maxSR_more4_0.6,3.8095706520971255,1.9576,1.0912,1.7939,-0.096
maxSR_less4_0.6,0.5130237572631653,0.331,1.2351,0.268,-0.0908
MVP_more8_0.6,0.414263614056092,0.2704,0.9987,0.2707,-0.0916
MVP_less8_0.6,2.1660753071198324,1.216,1.183,1.0279,-0.0892
maxSR_more8_0.6,0.47968408936460305,0.3106,0.9233,0.3365,-0.0839
maxSR_less8_0.6,-0.07647458151806874,-0.0534,0.8136,-0.0657,-0.079
