Strategy_name,Cum Ret.,Ann Ret.,Ann Vol.,SR,VaR (95%)
MVP_index_0.01,2.0531701782350145,1.1611,1.1258,1.0314,-0.0872
maxSR_index_0.01,0.11091920625516405,0.0753,0.86240000000000006,0.0873,-0.0809
MVP_more4_0.01,1.8142157267968324,1.0429,1.073,0.9719,-0.0933
MVP_less4_0.01,0.6255736597880757,0.3986,1.3038,0.3057,-0.0928
maxSR_more4_0.01,2.230529706678799,1.247,1.0527,1.1846,-0.0904
maxSR_less4_0.01,0.13881421788288306,0.0939,0.6905,0.136,-0.0642
MVP_more8_0.01,0.4296961403130215,0.2799,0.9913,0.2824,-0.0912
MVP_less8_0.01,2.113109501839938,1.1903,1.1644,1.0222,-0.0877
maxSR_more8_0.01,0.5435376209044789,0.3494,0.9203,0.3797,-0.0842
maxSR_less8_0.01,0.004013653585522858,0.0028,0.8335,0.0033,-0.0781
MVP_index_0.02,2.0707144688641526,1.1697,1.0864,1.0766,-0.0856
maxSR_index_0.02,0.28693717237899263,0.1903,0.9152,0.2079,-0.0827
MVP_more4_0.02,1.8142157267968324,1.0429,1.073,0.9719,-0.0933
MVP_less4_0.02,0.6194011596790789,0.3949,1.2935,0.3053,-0.0924
maxSR_more4_0.02,2.233197859562884,1.2483,1.0449,1.1946,-0.0879
maxSR_less4_0.02,0.15570475702960374,0.1051,0.7073,0.1485,-0.0668
MVP_more8_0.02,0.4451286665699501,0.2894,0.9845,0.294,-0.0909
MVP_less8_0.02,2.0601436965600355,1.1645,1.1465,1.0158,-0.0873
maxSR_more8_0.02,0.609366909884401,0.3889,0.9195,0.423,-0.0843
maxSR_less8_0.02,0.08331372487824606,0.0568,0.8561,0.0664,-0.0805
MVP_index_0.05,1.4037829281141372,0.8322,0.9434,0.8821,-0.0809
maxSR_index_0.05,1.0434435486958091,0.6379,0.9263,0.6886,-0.0811
MVP_more4_0.05,1.8142157267968324,1.0429,1.073,0.9719,-0.0933
MVP_less4_0.05,0.5889059776748942,0.3767,1.2573,0.2996,-0.0906
maxSR_more4_0.05,2.2412023182150977,1.2521,1.0245,1.2222,-0.0826
maxSR_less4_0.05,0.20553144277085988,0.1377,0.7693,0.1791,-0.0684
MVP_more8_0.05,0.44214157873707194,0.2876,0.96,0.2996,-0.0902
MVP_less8_0.05,1.8386223859972994,1.0551,1.0911,0.967,-0.085
maxSR_more8_0.05,0.8212380130781822,0.5127,0.9269,0.5531,-0.0839
maxSR_less8_0.05,0.3073427303154097,0.2033,0.9296,0.2187,-0.0862
