,V1,V2,V3,V4,V5,V6
BTC,1.0183,0.3503,0.64849999999999997,0.66800000000000104,0.4214,-0.107185628742516
,0.90269999999999895,0.23730000000000001,0.67710000000000004,0.66539999999999899,0.38940000000000002,0.32191163210099299
,0.93140000000000001,0.31640000000000001,0.6754,0.61499999999999999,0.34350000000000003,0.167479674796748
ETH,0.78839999999999999,0.41699999999999998,0.59009999999999996,0.37140000000000001,0.21690000000000001,-0.067851373182552799
,0.75560000000000005,0.31890000000000002,0.62839999999999996,0.43669999999999998,0.2387,0.41744904969086399
,0.81499999999999995,0.32879999999999998,0.65510000000000002,0.48620000000000002,0.28370000000000001,0.34224598930481298
BNB,0.78979999999999995,0.045500000000000103,0.55640000000000001,0.74429999999999996,0.39960000000000001,0.372833534864974
,0.65959999999999996,0.26229999999999998,0.54979999999999996,0.39729999999999999,0.21490000000000001,0.44726906619682699
,0.64490000000000003,0.40670000000000001,0.63870000000000005,0.2382,0.12330000000000001,0.94794290512174495
XRP,0.85399999999999998,0.30709999999999998,0.63239999999999996,0.54690000000000005,0.32490000000000002,0.18961418906564301
,0.85559999999999903,0.11409999999999999,0.66669999999999996,0.74150000000000005,0.45319999999999999,0.49049224544841702
,1.0232000000000001,0.37040000000000001,0.77929999999999999,0.65280000000000005,0.43409999999999999,0.25275735294117602
ADA,0.71479999999999999,0.54949999999999999,0.59960000000000002,0.1653,0.0875999999999999,-0.393829401088928
,0.67759999999999998,0.4587,0.62809999999999999,0.21890000000000001,0.11899999999999999,0.54773869346733595
,0.9577,0.4572,0.74319999999999997,0.50049999999999994,0.29920000000000002,0.14285714285714299
DOGE,0.89259999999999995,0.2994,0.72099999999999997,0.59319999999999995,0.36969999999999997,0.421443020903573
,0.94309999999999905,0.051999999999999998,0.71719999999999995,0.891099999999999,0.5857,0.49298619683537298
,1.2025999999999999,0.16769999999999999,0.81779999999999997,1.0348999999999999,0.69410000000000005,0.25635327084742499
